row_index	redshift	observable	physical_value
0	0.295	DV_over_rs	8.062606813684335
1	0.51	DM_over_rs	13.509349595984368
2	0.51	DH_over_rs	22.7499020665127
3	0.706	DM_over_rs	17.711160379518343
4	0.706	DH_over_rs	20.175603081574426
5	0.934	DM_over_rs	22.006349880810568
6	0.934	DH_over_rs	17.57246620203125
7	1.321	DM_over_rs	28.09409022486759
8	1.321	DH_over_rs	14.065756493629566
9	1.484	DM_over_rs	30.288129202465438
10	1.484	DH_over_rs	12.880320175124163
11	2.33	DH_over_rs	8.615128823348483
12	2.33	DM_over_rs	39.194691918696904
